person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;t_quest_max;t_quest_min;t_quest_mean;t_quest_std;nr_abandons;nr_scroll;nr_items_scroll;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_pauses;t_pauses_max;t_pauses_min;t_pauses_mean;t_pauses_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;vt_max;vt_min;vt_mean;vt_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;angles_max;angles_min;angles_mean;angles_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;jitter;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;s;straightness_max;straightness_min;straightness_mean;straightness_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;w_max;w_min;w_mean;w_std
79;3.75;3.58;2.85;2.8;2.58;4.6;3.7;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;3.25;2.08;3.31;2.8;2.58;2.0;4.0;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;4.33;3.08;2.54;2.6;2.67;2.6;4.0;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;3.75;3.25;2.69;4.2;3.83;4.0;2.9;3.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;3.17;2.42;1.85;3.0;2.58;3.4;4.1;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;3.58;4.75;2.54;2.6;3.17;4.8;2.9;3.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;3.5;2.92;2.08;3.4;2.83;3.6;3.5;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;4.83;4.0;3.38;2.8;2.25;3.2;3.2;1.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;4.25;2.0;1.92;2.6;2.83;1.6;4.1;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;4.17;3.67;3.31;3.4;2.83;3.2;4.1;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;3.33;3.83;2.85;3.0;2.75;2.2;3.6;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;3.5;3.58;2.85;2.8;3.25;1.8;3.9;3.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;3.5;3.33;2.54;3.0;3.17;3.6;3.8;3.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;3.25;2.08;2.08;2.6;2.58;1.6;4.2;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;3.42;2.42;2.92;3.4;2.92;3.6;4.2;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;3.42;2.83;2.54;3.2;2.92;2.8;4.7;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
